Country,Price (2020),Price (2021),Price (2022),Cheap,Expensive
Anguilla,14.12,5.92,3.85,1.11,15.91
Botswana,16.79,13.87,3.92,1.63,36.23
Greenland,11.12,9.56,3.97,2.22,11.43
Puerto Rico,14.61,9.17,4.0,0.5,20.0
Montserrat,4.92,8.33,4.01,1.11,29.23
Sint Maarten,21.64,4.66,4.17,0.83,6.92
French Polynesia,4.96,15.42,4.2,1.65,52.66
Guinea-Bissau,11.71,4.12,4.41,2.25,36.12
Antigua and Barbuda,12.7,7.17,4.44,1.48,42.18
Aruba,5.56,9.11,4.44,0.74,8.96
Panama,4.69,6.69,4.49,2.0,7.48
Burkina Faso,10.26,2.47,4.52,2.35,18.06
Svalbard and Jan Mayen,11.76,5.9,4.65,0.58,29.03
Togo,15.12,4.5,4.69,2.03,40.64
South Korea,9.21,10.94,4.72,0.06,96.88
Cape Verde,4.25,4.81,4.78,1.07,48.35
Lebanon,5.84,3.82,4.81,1.21,77.7
Gabon,3.39,4.89,4.82,1.06,18.06
Madagascar,7.24,8.81,5.14,0.66,50.09
Switzerland,20.22,8.38,5.24,1.6,17.83
Guyana,12.3,5.46,5.25,3.82,9.52
Belgium,3.12,4.88,5.28,1.48,21.3
Mauritania,9.49,4.63,5.56,2.78,13.91
Taiwan,12.02,5.91,5.67,0.42,46.67
Canada,13.21,12.55,5.72,0.8,79.54
Norway,5.33,5.28,5.81,1.74,29.03
Gambia,6.89,5.1,5.86,2.37,97.71
Bahamas,4.94,6.02,5.98,3.99,10.74
Curaçao,16.91,11.06,6.47,2.78,14.34
New Caledonia,7.21,4.81,6.49,2.1,210.16
Barbados,15.82,9.32,6.79,4.94,64.24
New Zealand,9.79,6.06,6.99,1.22,27.98
Syria,4.14,6.55,7.15,0.19,38.8
Niue,9.2,4.5,7.37,4.48,28.69
Andorra,12.58,9.54,7.49,1.06,65.07
British Indian Ocean Territory,9.31,7.5,7.5,6.67,10.0
United Arab Emirates,10.23,3.78,7.62,0.8,34.3
Nauru,28.13,30.47,7.62,7.62,7.62
Solomon Islands,8.37,8.53,7.83,3.14,12.55
Micronesia (Federated States of),12.87,7.2,7.85,0.99,59.16
Turks and Caicos Islands,23.09,13.33,8.0,5.0,23.0
Czech Republic,32.71,7.95,8.15,0.94,36.05
Greece,4.91,12.06,8.16,1.06,768.87
Seychelles,19.55,11.43,8.64,2.36,22.67
Cyprus,20.25,13.56,8.84,2.06,59.1
Central African Republic,6.03,8.25,9.03,3.01,60.21
Virgin Islands (British),18.55,12.5,9.54,3.38,29.9
Kiribati,11.05,10.5,9.94,2.35,22.87
Caribbean Netherlands,9.57,9.95,10.94,6.25,24.0
Cayman Islands,26.79,23.05,11.97,4.79,41.48
Yemen,15.73,15.98,15.98,0.4,39.94
Bermuda,37.74,28.75,19.8,4.17,100.0
Tokelau,29.96,17.75,20.48,15.54,27.98
Turkmenistan,19.81,11.44,21.41,7.14,30.44
Namibia,11.02,4.78,22.37,1.2,72.06
Chad,23.33,23.33,23.33,2.21,45.16
Malawi,3.59,27.41,25.46,20.37,25.46
São Tomé and Príncipe,5.33,28.26,30.97,13.27,121.65
Saint Helena,6.04,52.5,39.87,38.57,51.42
Falkland Islands,55.47,40.41,44.56,29.71,82.26
Equatorial Guinea,47.39,12.78,49.67,45.16,63.22
