Country,Continent,Users,Population
Latvia,Europe,"1,585,471","1,928,459"
Benin,Africa,"1,578,008","11,485,044"
Guinea,Africa,"1,449,758","12,414,293"
Bahrain,Asia,"1,431,090","1,569,446"
Jamaica,Americas,"1,409,888","2,934,847"
Libya,Africa,"1,387,116","6,678,559"
Haiti,Americas,"1,353,986","11,123,178"
Turkmenistan,Asia,"1,223,591","5,850,901"
Estonia,Europe,"1,153,786","1,322,920"
Trinidad and Tobago,Americas,"1,058,744","1,389,843"
Gabon,Africa,"1,040,000","2,119,275"
South Sudan,Africa,"1,003,542","10,975,927"
Sierra Leone,Africa,"1,000,575","7,650,150"
Chad,Africa,"968,500","15,477,729"
Togo,Africa,"963,795","7,889,093"
Cyprus,Asia,"952,369","1,189,265"
Botswana,Africa,"948,977","2,254,068"
Namibia,Africa,"933,450","2,448,301"
Papua New Guinea,Oceania,"924,955","8,606,323"
Mauritania,Africa,"919,398","4,403,313"
Mongolia,Asia,"729,236","3,170,216"
Mauritius,Africa,"702,911","1,267,185"
Lesotho,Africa,"665,312","2,108,328"
Burundi,Africa,"607,311","11,175,374"
Luxembourg,Europe,"570,794","604,245"
Djibouti,Africa,"532,849","958,923"
"Macau, China",Asia,"517,789","631,636"
Congo,Africa,"455,055","5,244,359"
Fiji,Oceania,"452,479","883,483"
Montenegro,Europe,"505,055","627,809"
Gambia,Africa,"416,753","2,280,094"
Eswatini,Africa,"414,278","1,136,281"
Brunei,Asia,"406,705","428,963"
Bhutan,Asia,"388,541","754,388"
Liberia,Africa,"377,607","4,818,973"
East Timor,Asia,"356,356","1,267,974"
Malta,Europe,"344,970","439,248"
Bahamas,Americas,"336,057","385,637"
Equatorial Guinea,Africa,"332,642","1,308,975"
Iceland,Europe,"329,196","336,713"
Cabo Verde,Africa,"312,315","543,767"
Somalia,Africa,"294,851","15,008,226"
Guyana,Americas,"290,375","779,006"
Suriname,Americas,"275,785","575,990"
Maldives,Asia,"275,717","515,696"
Barbados,Americas,"233,604","286,641"
New Caledonia,Oceania,"226,557","279,993"
French Polynesia,Oceania,"205,746","277,679"
Central African Republic,Africa,"202,204","4,666,368"
Belize,Americas,"176,400","383,071"
Guam,Oceania,"132,221","165,768"
Aruba (Netherlands),Americas,"102,285","105,845"
Saint Lucia,Americas,"90,889","181,889"
Antigua and Barbuda,Americas,"77,529","96,286"
Andorra,Europe,"76,095","77,006"
Guinea-Bissau,Africa,"73,148","1,874,303"
Solomon Islands,Oceania,"72,872","652,857"
Saint Vincent and the Grenadines,Americas,"72,048","110,211"
Vanuatu,Oceania,"71,050","292,680"
Comoros,Africa,"69,020","832,322"
U.S. Virgin Islands,Americas,"67,535","104,680"
Eritrea,Africa,"66,402","3,452,786"
Samoa,Oceania,"66,023","196,129"
Grenada,Americas,"63,692","111,454"
São Tomé and Príncipe,Africa,"61,155","211,028"
Bermuda,Americas,"60,349","62,756"
Seychelles,Africa,"55,677","97,096"
Dominica,Americas,"51,467","71,625"
Cayman Islands,Americas,"49,906","64,174"
Faroe Islands,Europe,"48,097","48,497"
Saint Kitts and Nevis,Americas,"44,669","52,441"
Tonga,Oceania,"44,558","103,197"
Greenland,Americas,"39,242","56,564"
Monaco,Europe,"37,553","38,682"
Micronesia,Oceania,"37,257","112,640"
Liechtenstein,Europe,"37,201","37,910"
Gibraltar,Europe,"32,494","33,718"
Marshall Islands,Oceania,"20,560","58,413"
San Marino,Europe,"20,100","33,785"
Kiribati,Oceania,"16,971","115,847"
British Virgin Islands,Americas,"14,456","29,802"
Anguilla,Americas,"12,043","14,731"
Nauru,Oceania,"6,475","10,670"
Tuvalu,Oceania,"5,520","11,508"
"Saint Helena, Ascension and Tristan da Cunha",Africa,"2,906","6,035"
Falkland Islands,Americas,"2,881","3,234"
Montserrat,Americas,"2,833","4,993"
Wallis and Futuna,Oceania,"1,383","11,661"
Niue,Oceania,"1,034","1,620"
